"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"760.3999","3.200e1","432.6001","2.700e1","502.0073","2.600e1"
"761.3369","2.700e1","432.7081","2.200e1","503.0730","2.600e1"
"762.4102","2.000e1","433.1379","2.200e1","505.2510","2.000e1"
"762.7884","2.100e1","433.1973","3.862e1","512.2545","2.200e1"
"765.0946","4.700e1","433.2349","1.210e1","513.1606","2.600e1"
"765.1647","4.400e1","433.7321","3.600e1","513.5544","2.600e1"
"766.1918","2.100e1","433.8489","4.600e1","514.1361","3.300e1"
"767.9224","5.900e1","434.1009","2.500e1","514.2317","2.100e1"
"769.0578","2.400e1","434.1554","5.191e1","516.1265","2.400e1"
"770.1816","2.000e1","434.2341","1.073e2","519.1738","5.100e1"
"771.7775","2.200e1","434.3321","2.100e1","520.0356","2.200e1"
"772.2930","3.000e1","434.4566","2.100e1","520.2785","2.400e1"
"772.3892","2.100e1","434.5532","2.500e1","521.1057","2.000e1"
"772.4563","2.100e1","434.6425","2.100e1","526.7712","2.100e1"
"773.3889","2.600e1","434.7158","3.000e1","527.7410","8.000e1"
"774.3286","3.100e1","434.7375","2.900e1","530.5674","2.800e1"
"774.4318","2.000e1","435.0450","2.800e1","532.1586","5.600e1"
"775.1295","2.000e1","435.1247","2.200e1","532.3301","6.200e1"
"775.8524","2.100e1","435.2119","1.032e2","533.1725","2.500e1"
"779.2777","2.900e1","435.2720","7.087e1","540.2579","2.000e1"
"783.2023","2.500e1","435.2888","2.500e1","541.0118","5.100e1"
"783.4285","2.200e1","435.5717","2.900e1","542.8247","4.000e1"
"794.0292","2.300e1","435.7111","4.400e1","544.0325","2.300e1"
"794.3869","2.900e1","435.7316","2.700e1","545.1678","2.500e1"
"800.1298","2.300e1","435.7564","2.200e1","545.2756","2.500e1"
"808.3189","2.500e1","436.0128","2.100e1","546.3000","2.400e1"
"809.6366","2.000e1","436.1200","2.600e1","547.2882","2.100e1"
"810.8187","5.900e1","436.1752","1.804e1","549.2585","2.700e1"
"816.2383","4.600e1","436.1953","1.807e1","552.1795","2.200e1"
"827.5017","2.600e1","436.5038","3.800e1","553.2714","2.100e1"
"829.0308","2.300e1","436.7961","2.000e1","554.0009","4.300e1"
"836.8796","2.200e1","436.8364","2.200e1","554.6045","2.000e1"
"838.4894","2.000e1","437.1418","3.800e1","560.0423","4.500e1"
"841.2407","2.000e1","437.1873","8.958e1","562.7886","2.100e1"
"848.3903","2.100e1","437.3176","2.500e1","563.5023","4.800e1"
"853.4902","2.100e1","437.6891","6.906e1","565.0600","2.100e1"
"853.5266","2.200e1","437.8542","2.600e1","565.8748","2.400e1"
"855.3212","3.000e1","438.0622","2.200e1","569.0491","2.700e1"
"856.3915","2.400e1","438.2773","1.115e2","577.3227","2.300e1"
"858.6051","5.000e1","438.5303","2.000e1","580.1129","2.200e1"
"859.1735","3.100e1","438.6318","2.100e1","580.2709","4.800e1"
"859.4248","2.000e1","438.7030","2.638e2","580.7458","3.400e1"
"864.3334","2.000e1","439.1702","2.954e1","581.3270","1.060e2"
"866.1819","2.100e1","439.2475","1.627e2","582.3522","3.800e1"
"867.4514","2.200e1","439.2750","3.022e2","595.3978","2.600e1"
"872.8137","4.000e1","439.7529","2.500e1","598.3452","2.000e1"
"876.2241","3.800e1","440.0577","2.400e1","620.8532","1.020e2"
"880.1992","2.900e1","440.1504","4.000e1","622.2640","3.000e1"
"890.4255","2.300e1","440.2099","5.579e1","623.6162","2.500e1"
"891.5237","3.500e1","440.2703","1.477e2","628.2980","2.000e1"
"894.2632","3.200e1","440.3090","4.100e1","632.0285","3.200e1"
"895.5184","2.400e1","440.7389","2.000e1","644.6838","8.600e1"
